id,drink_id,compornent_id,amount_number
883,274,101,0
884,275,127,0
885,275,101,0
886,276,135,0
887,276,136,0
888,276,137,0
889,276,37,0
890,276,138,0
891,277,62,0
892,277,102,0
893,278,139,0
894,278,31,0
895,279,102,0
896,279,31,0
897,280,102,0
898,280,7,0
899,281,102,0
900,281,114,0
901,281,7,0
902,282,140,0
903,282,2,0
904,282,32,0
905,282,10,0
906,283,63,0
907,283,55,0
908,284,63,0
909,284,20,0
910,285,63,0
911,285,141,0
912,286,142,0
913,286,34,0
914,287,143,0
915,287,6,0
916,287,134,0
917,287,37,0
918,288,144,0
919,288,145,0
920,288,45,0
921,288,16,0
922,289,146,0
923,289,7,0
924,290,146,0
925,290,7,0
926,291,146,0
927,291,147,0
928,292,148,0
929,292,92,0
930,292,149,0
931,293,144,0
932,293,45,0
933,293,10,0
934,293,2,0
935,293,32,0
936,294,146,0
937,294,50,0
938,295,146,0
939,295,84,0
940,295,2,0
941,296,27,0
942,296,146,0
943,296,7,0
944,297,150,0
945,297,27,0
946,297,92,0
947,297,79,0
948,297,7,0
949,298,151,0
950,298,27,0
951,298,25,0
952,298,79,0
953,299,151,0
954,299,11,0
955,299,149,0
956,300,150,0
957,300,21,0
958,300,32,0
959,300,6,0
960,301,146,0
961,301,4,0
962,302,150,0
963,302,11,0
964,302,26,0
965,302,32,0
966,303,146,0
967,303,5,0
968,303,20,0
969,304,148,0
970,304,25,0
971,304,149,0
972,305,146,0
973,305,84,0
974,306,146,0
975,306,25,0
976,306,149,0
977,307,148,0
978,307,83,0
979,307,37,0
980,307,89,0
981,307,6,0
982,308,148,0
983,308,37,0
984,308,6,0
985,309,148,0
986,309,152,0
987,309,153,0
988,309,134,0
989,309,37,0
990,310,131,0
991,310,154,0
992,310,85,0
993,310,37,0
994,311,148,0
995,311,5,0
996,311,155,0
997,311,29,0
998,311,156,0
999,312,148,0
1000,312,20,0
1001,313,148,0
1002,313,7,0
1003,313,28,0
1004,313,80,0
1005,314,148,0
1006,314,7,0
1007,315,148,0
1008,315,70,0
1009,315,45,0
1010,315,16,0
1011,316,157,0
1012,316,158,0
1013,317,157,0
1014,317,158,0
1015,318,157,0
1016,318,158,0
1017,319,159,0
1018,319,160,0
1019,320,159,0
1020,320,160,0
1021,321,161,0
1022,321,7,0
1023,322,161,0
1024,322,20,0
1025,323,161,0
1026,323,41,0
1027,324,162,0
1028,324,159,0
1029,324,163,0
1030,324,164,0
1031,325,165,0
1032,325,160,0
1033,326,162,0
1034,326,166,0
1035,327,167,0
1036,328,168,0
1037,329,169,0
1038,329,170,0
1039,330,171,0
1040,330,172,0
1041,330,173,0
1042,330,174,0
1043,331,175,0
1044,332,176,0
1045,332,7,0
1046,332,177,0
1047,332,178,0
1048,333,176,0
1049,333,7,0
1050,333,179,0
1051,333,178,0
1052,334,176,0
1053,334,7,0
1054,334,180,0
1055,334,178,0
1056,335,181,0
1057,335,181,0
1058,336,2,0
1059,336,73,0
1060,337,182,0
1061,337,183,0
1062,337,7,0
1063,338,174,0
1064,338,184,0
1065,338,185,0
1066,339,186,0
1067,339,6,0
